0,1,2,3,4,5,6,7,8,9
"Muhteşem Gatsby (Ciltli, İplik Dikişli)",F. Scott Fitzgerald,KAPRA YAYINCILIK,"“Gatsby’yi muhakkak tanıyor olmanız lazım.”“Gatsby mi?” diye sordu Daisy. “Hangi Gatsby?”F. Scott Fitzgerald, şaheseri olarak kabul edilen bu kitabında Caz Çağı’nın Kayıp Kuşak’ını muazzam bir şeffaflıkla ve fevkalade nükteli bir dille tasvir ederken, aynı zamanda bu kuşağın kendini kaptırdığı malum Amerikan Rüyası’nı ustalıkla eleştirir. Dönemi en iyi yansıtan özellikleri bu romanda, Bay Gatsby’nin her hafta sonu düzenlediği partilerde bulabilirsiniz. ","Çevirmen:
 Ayşe Nur Buğalı


Yayın Tarihi:
26.07.2022


ISBN:
9786258076554


Dil:
TÜRKÇE


Sayfa Sayısı:
184


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13 x 20 cm",5,4,"




                    Okuyacağım                


                    28                






                    Okuyorum                


                    4                






                    Okudum                


                    12                


",618," 19,90"
Esir Şehrin İnsanları,Kemal Tahir,KETEBE YAYINEVİ,"Çöküntü̈ devrinde iki çeşit insan tipi ortaya çıkıyor: Namussuzlarla namuslular... Hele, önce ‘vatandaş’ sonra ‘insan’ olunması gereken dehşetli sıralarda felaketle alçaklığın boğuşması kadar korkunç muharebe yok. Muharebede düşman karşıdadır, üniformalıdır. Az da olsa, çok da olsa bir zaman sonra önemi kalmaz. Kaçarsın, kovalarsın... Anında ölenler, yaralananlar olur. Ama hep ileriye bakmanın bir rahatlığı vardır. Oysa esir bir şehirde, dost kim, düşman kim bilinmez!” Bir mücadele nerede başlar? Hürriyet duygusu ne zaman kan ve kemik kadar kati bir gerçek halini alır? Kemal Tahir, esir düşmüş payitahtın insanlarını işte bu çetrefil ve kaçınılmaz sorunun karşısındaki tutumlarına göre tasnif ediyor, tanımlıyor. Kaosun hüküm sürdüğü̈ mütareke İstanbulu’na yönelttiği keskin bakışlarıyla şehrin sokaklarını tararken ne berduşları, aylakları, işbirlikçileri ne vatanseverleri ve kendisinden kahramanlık umulmayan kahramanları gözden kaçırıyor. Gönülden köleler ve aldırmazlar arasından bir çıkış yolu arıyor. Esir Şehrin İnsanları, yazarının “yürekli bir yalnızlığı göze alarak” yakın tarihin en önemli olaylarını çok yönlü̈ bir bakışla, tarihsel gerçekliği içinde ele aldığı ilk “şehir romanı”dır. “Esir Şehir” üçlemesinin ilk kitabı olan bu roman, dağılan imparatorluğun ve insanlarının eş zamanlı çözülmesini derin ve sarsıcı yüzleşmelerle okura sunuyor. ","Yayın Tarihi:
08.12.2022


ISBN:
9786256999190


Dil:
TÜRKÇE


Sayfa Sayısı:
448


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,3,"




                    Okuyacağım                


                    22                






                    Okuyorum                


                    2                






                    Okudum                


                    9                


",488," 62,70"
Mülksüzler,Ursula K. Le Guin,METİS YAYINLARI,"""Vermediğiniz şeyi alamazsınız, kendinizi vermeniz gerekir. Devrimi satın alamazsınız. Devrimi yapamazsınız. Devrim olabilirsiniz ancak.""""Romanım Mülksüzler, kendilerine Odocu diyen küçük bir dünya dolusu insanı anlatıyor. İsimlerini toplumlarının kurucusu olan Odo'dan alıyorlar; Odo romandaki olaylardan kuşaklarca önce yaşamış, bu yüzden olaylara katılmıyor, ya da yalnızca zımnen katılıyor, çünkü bütün olaylar aslında onunla başlamıştı.","Çevirmen:
 Levent Mollamustafaoğlu


Kapak:
 Semih Sökmen


Yayın Tarihi:
31.05.2021


Orijinal Adı:
The Dispossessed


ISBN:
9789753425285


Dil:
TÜRKÇE


Sayfa Sayısı:
344


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13 x 19.5 cm",5,630,"




                    Okuyacağım                


                    1.377                






                    Okuyorum                


                    129                






                    Okudum                


                    1.307                


",20.990," 95,16"
Kendini Arayan Adam,Halit Ertuğrul,NESİL YAYINLARI,"Kendini Arayan Adam; yaşanmışın romanıdır. Aynı zamanda inançsız ruhlarda saklı kuşkuların, açmazların, sıkıntıların ve inkardan kaynaklanan bunalımların da hikayesi.","Yayın Tarihi:
03.08.2022


ISBN:
9789754081657


Dil:
TÜRKÇE


Sayfa Sayısı:
112


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",4,545,"




                    Okuyacağım                


                    208                






                    Okuyorum                


                    21                






                    Okudum                


                    739                


",12.446," 35,00"
Yalnızız,Peyami Safa,ÖTÜKEN NEŞRİYAT,"Peyami Safa’nın son romanı Yalnızız, engin ruh tahlilleri ve kendi türünde açtığı çığırla onu yalnızca Türk edebiyatının değil, Dünya edebiyatının zirvelerine taşımış şaheseridir. Peyami Safa’nın diğer bütün romanlarında olduğu gibi Yalnızız romanında da doğu-batı, madde-mânâ, ruh-beden, idealizm-materyalizm gibi ikilemler üzerinde durularak, aynı evde yaşadıkları hâlde birbirlerinden oldukça farklı mizaç, düşünce ve insan ilişkilerine sahip aile fertleri üzerinden ruhunu arayan bir toplum resmedilir. Bireysel ve toplumsal kimliklerimiz arasında, bilhassa Batılılaşma hareketlerinden sonra ortaya çıkan uyumsuzluğun yarattığı sıkıntılar, kalabalıklar içinde milyonlarca “yalnız”ın peyda olmasına sebep olmuştur. Yalnızız; sıra dışı kurgusu ve bir üst kurmaca metin olarak romanda kendine yer bulan ütopya ülkesi Simeranya ile yarım asırdır Türk edebiyatının en çok okunan ve sevilen romanlarının başında geliyor.","Yayın Tarihi:
01.11.2022


ISBN:
9789754370577


Dil:
TÜRKÇE


Sayfa Sayısı:
416


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12 x 19.5 cm",5,692,"




                    Okuyacağım                


                    860                






                    Okuyorum                


                    70                






                    Okudum                


                    1.249                


",12.288," 85,00"
Yeni Dünya,Sabahattin Ali,YAPI KREDİ YAYINLARI,"""Hala bir şey çıkmadı... Galiba bu yolu yapmayacaklar. Köylü de bana yardım etmiyor. Pek ölü mahluklar... Belki de pek akıllı mahluklar da, boşuna yere uğraşmak istemiyorlar. İçimde hiç sevk kalmadı. İnsana birkaç kelime ile cevap verseler yine neyse, fakat ne evet, ne hayır!... Sanki bu istidaları ses vermez bir derin kuyuya atmışız.Akşamları köyün yanı başındaki sırta çıkarak uzakta tozlara bulanıp uzanan yolu seyrediyorum. Bazan tozdan bembeyaz olmuş ve üstüne sepetler denkler sarılmış bir kamyon görünüyor, bir bataklıkta dizlerini kaldırıp indirerek yürüyen bir insan gibi ileri geri sallanarak, yıkılacak gibi olarak, ağır ağır ilerliyor. Bu o kadar üzücü bir manzara ki, tekniğin en son ifadelerinden biri olan bu makine ile dünyanın bu en iptidai yolunun mücadelesini görmemek için insan gözlerini kapıyor. Bazan koşup yolu avuçlarımla düzeltmek, orada hiç olmazsa beş on metrelik bir yeri bir 'yol' haline koyarak kendini hisseme düşen vazifeyi yapmış olmak istiyorum.""","Yayın Tarihi:
13.05.2019


ISBN:
9789750806612


Dil:
TÜRKÇE


Sayfa Sayısı:
124


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
3. Hm. Kağıt


Boyut:
13.5 x 21 cm",5,943,"




                    Okuyacağım                


                    1.114                






                    Okuyorum                


                    100                






                    Okudum                


                    2.210                


",24.161," 14,30"
Fedailerin Kalesi Alamut,Vladimir Bartol,KORİDOR YAYINCILIK,"Hasan Sabbah’ın, Alamut Kalesi’nin, fedailerin ve cennet bahçelerinin hikayesiBir tarafta Hasan Sabbah’ın yeryüzü cennetiyle yeni tanışan güzel köleler, diğer tarafta onun en güvenilir savaşçıları olan fedailer. Sabbah’ın yarattığı cennetin içinde gözleri açıldığında hepsinin hayatı hiç umulmadık bir şekilde değişir.Hikaye 11. yüzyıl İranı’nda, kendini peygamber ilan eden Hasan Sabbah’ın, seçilmiş bir grup insanı intihar suikastçısına dönüştürerek bölgede hakimiyet kurmak için çılgınca ve aynı zamanda zekice bir plan tasarladığı Alamut Kalesi’nde geçmektedir. Güzel kadınların, yemyeşil bahçelerin, şarap ve haşhaşın göz boyadığı sanal bir cennet yaratan Sabbah, genç savaşçılarını emirlerine uydukları takdirde bu cennete gidebileceklerine inandırır. Kendilerini onun yoluna adayan, ölmeyi de öldürmeyi de göze almış olan bu küçük orduyla hükümdar sınıfına gözdağı verebileceğini düşünür. Sabbah kendi deyimiyle insanların saflığını kullanıp dine adanmışlığı politik emellerine alet eder. Artık kapılar onun için ardına kadar açılmıştır.","Çevirmen:
 Ender Nail


Yayın Tarihi:
09.03.2012


ISBN:
9786054188970


Dil:
TÜRKÇE


Sayfa Sayısı:
510


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,1.856,"




                    Okuyacağım                


                    1.398                






                    Okuyorum                


                    210                






                    Okudum                


                    3.914                


",30.191," 97,50"
Pir /  Pir-i Türkistan Ahmed Yesevi'nin Romanı,Fatih Duman,NESİL YAYINLARI,"İnandığın gibi mi yaşıyorsun, yoksa yaşadığın gibi mi inanıyorsun?“İnandığın gibi yaşa” diye ömrünü bir kuş kanadına asanlar ve ‘var’ denen nesi varsa hepsini feda edenler var.Şükür ki, onlar var. Zira hayat, neyi feda ettiğinle tarif ediliyor.Seni sırlı bir yola çağırsam gelir misin kâri? Hayali sen olanların, senin için ölenlerin ve belki düşlerinde seni görenlerin yaşadığı bir vakte çağırsam seni, gelir misin? Dervişleri, erenleri, alperenleri görmek ister misin?Ahmed Yesevi’yi anlatsam sana...Karanlıklarda kaybolma diye ışık tutuşunu anlatsam.Dervişleriyle yollara düşürsem seni...Hem sen de dua eder misin kâri? Pîr-i Türkistan Hoca Ahmed Yesevi gibi meselâ, onun gibi dua eder misin: “Beni her ne eylersen eyle, lâkin âşık eyle Allahım…”Pîr, hayatlarını aydınlattığı dervişlerini dört bucağa salıp nice coğrafyaları aydınlatmış bir mânâ erinin, Hoca Ahmed Yesevî’nin romanı...","Yayın Tarihi:
16.03.2020


ISBN:
9786051315362


Dil:
TÜRKÇE


Sayfa Sayısı:
336


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,200,"




                    Okuyacağım                


                    208                






                    Okuyorum                


                    24                






                    Okudum                


                    421                


",5.641," 59,55"
Uçurtma Avcısı (Midi Boy),Khaled Hosseini,EVEREST YAYINLARI,"Emir ve Hasan, Kabil'de monarşinin son yıllarında birlikte büyüyen iki çocuk... Aynı evde büyüyüp, aynı sütanneyi paylaşmalarına rağmen Emir'le Hasan'ın dünyaları arasında uçurumlar vardır: Emir, ünlü ve zengin bir işadamının, Hasan ise onun hizmetkârının oğludur. Üstelik Hasan, orada pek sevilmeyen bir etnik azınlığa, Hazaralara mensuptur.Çocukların birbirleriyle kesişen yaşamları ve kaderleri, çevrelerindeki dünyanın trajedisini yansıtır. Sovyetler işgali sırasında Emir ve babası ülkeyi terk edip California'ya giderler. Emir böylece geçmişinden kaçtığını düşünür. Her şeye rağmen arkasında bıraktığı Hasan'ın hatırasından kopamaz.Uçurtma Avcısı arkadaşlık, ihanet ve sadakatin bedeline ilişkin bir roman. Babalar ve oğullar, babaların oğullarına etkileri, sevgileri, fedakârlıkları ve yalanları... Daha önce hiçbir romanda anlatılmamış bir tarihin perde arkasını yansıtan Uçurtma Avcısı, zengin bir kültüre ve güzelliğe sahip toprakların yok edilişini aşama aşama gözler önüne seriyor.Uçurtma Avcısı'nda anlatılan olağanüstü bir dostluk. Bir insanın diğerini ne kadar sevebileceğinin su gibi akıp giden öyküsü...","Çevirmen:
 Püren Özgören


Yayın Tarihi:
22.11.2022


ISBN:
9786051853369


Dil:
TÜRKÇE


Sayfa Sayısı:
336


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
11 x 18 cm",5,187,"




                    Okuyacağım                


                    221                






                    Okuyorum                


                    36                






                    Okudum                


                    615                


",4.373," 33,45"
Düşler Atlası,Özgür Balpınar,TİMAŞ GENÇ,"""Bir hayalperestin zihni onun en harika oyuncağıdır."" Dünyayı ancak hayalperestler değiştirebilir. Meraklı gözler, kâşif ruhlar ve yaratıcı zihinler sizi ileriye taşır. Peki, hayalleriniz için sınırlarınız nelerdir? Onlara ulaşabilmek için nereye kadar gidebilirsiniz? Peki ya zorluklarla başa çıkma konusunda kendinize ne kadar güvenirsiniz? Mesela beklemek de dahil midir hayallerinize kavuşmaya? Ya derin üzüntüler yaşamak? Doğru cevabı bulduğunuz gün, yeni hayatınızın ilk günü olacak. Serinin son kitabı Düşler Atlası'nda Göğü Yeri İndirelim'den tanıdığımız Deniz ile Yeryüzünün Kalbi'nden tanıdığımız Bamba bir araya geliyor. Mahsur kaldıkları adada bir çıkış yolu ararken, kaderleri adanın yerlisi Ra'yla birleşiyor.","Yayın Tarihi:
08.03.2022


ISBN:
9786050829181


Dil:
TÜRKÇE


Sayfa Sayısı:
160


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 20.5 cm",5,60,"




                    Okuyacağım                


                    118                






                    Okuyorum                


                    12                






                    Okudum                


                    184                


",4.980," 46,50"
Karışık,Sharon M. Draper,TİMAŞ GENÇ,"48 ödüllü İçimdeki Müzik’in yazarı Sharon M. Draper’dan 21 hafta New York Times Çok Satan listesinde kalan yeni kitap: “Karışık” “Çok egzotiksin!”“Çok sıra dışı görünüyorsun.” “Ama gerçekte sen kimsin?”Siyahi bir babaya ve beyaz bir anneye sahip olan Isabella aslında ne demek istediklerini biliyor:“Ebeveynlerin gibi gözükmüyorsun.”“Farklısın.”“Hangi ırktansın?” Anne ve babası boşanan on bir yaşındaki Isabella her hafta farklı bir hayata geçmek zorunda. Annesi ile babası arasında bölünmüş olmak onun için sadece ev değiştirmek, farklı takma isimler kullanmak değil aynı zamanda kimliğini değiştirmek demek. Yarı beyaz yarı siyah olmak nasıl hissettirmeli? Yarının babana ait olması diğer yarının ise annene ait olması... Sürekli yarım olarak görüldüğünde nasıl bir tam olmayı başarabilirsin ki?İki ailenin bir araya gelmesi imkânsız gibi gözükürken beklenmedik ırkçı bir saldırı Isabella’nın hayatını tamamen değiştirecek. ","Çevirmen:
 Gizem Şakar


Yayın Tarihi:
22.05.2021


Orijinal Adı:
Blended


ISBN:
9786050831597


Dil:
TÜRKÇE


Sayfa Sayısı:
280


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 20.5 cm


Diğer Özellik:
10+ Yaş",4,177,"




                    Okuyacağım                


                    220                






                    Okuyorum                


                    29                






                    Okudum                


                    368                


",6.530," 63,00"
Uygarlıkların Batışı,Amin Maalouf,YAPI KREDİ YAYINLARI,"Uygarlıkların Batışı, doğup büyüdüğü Lübnan’ın çokkültürlülüğünden beslenen ve bunun önemini her zaman dile getiren Amin Maalouf’un Ölümcül Kimlikler ve Çivisi Çıkmış Dünya ile başladığı düşünce serüveninde en karamsar durak. Buzdağını gördüğü halde ilerlemeye devam eden insanlık gemisi için bir taziye. Her ne kadar hâlâ süper güç olarak anılsa da ahlaki inandırıcılığını kaybetmekte olan Amerika; çağımızın en umut verici projelerinden biri olarak sınırları kaldırmayı amaçlayan, ancak bugün parçalanmanın eşiğine gelmiş Avrupa Birliği; umutsuzluğa kapılmış ve herkesin kendisinden nefret ettiği yanılsaması içinde dünyaya sırt çevirenArap-Müslüman âlemi; yeni süper güç olma yolunda silahlanma da dahil her alanda büyük adımlarla birbirleriyle yarışan Çin, Hindistan, Rusya... Ve çağımızın yaşadığı muazzam teknolojik ilerlemenin büyüsü ardına saklanmış iklim felaketleri, etnik düşmanlıklar, kaybolmuş özgürlük hayali ve pusulasını yitirmiş insanlık.","Çevirmen:
 Ali Berktay


Yayın Tarihi:
12.11.2019


ISBN:
9789750845895


Dil:
TÜRKÇE


Sayfa Sayısı:
200


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,116,"




                    Okuyacağım                


                    230                






                    Okuyorum                


                    24                






                    Okudum                


                    269                


",7.207," 16,50"
Sis ve Gece,Ahmet Ümit,YAPI KREDİ YAYINLARI,"Amansız bir yalnızlaşma ve yabancılaşmaİstihbarat teşkilatının mesleğine aşkla bağlı elemanı Sedat’ın hayatı üst üste gelen musibetlerle altüst olmuştur. Babası gibi sevdiği amiri Yıldırım’ın öldürülmesinin şokunu atlatamadan kendisi de suikasta uğrar. Tüm bunların üstüne yegâne yaşama sevinci olan Mine’nin kaybolmasıyla hayatı tam bir cehenneme döner ancak pes etmez, sevgilisinin peşine düşer.Faili meçhul cinayetlerin parçaladığı yaşamlar Sis ve Gece olgun bir yazardan izler taşıyan üslubuyla şaşırtıcı bir ilk roman. Ahmet Ümit’e parlak bir kariyerin kapısını açan roman uzun vadede yazarın imzasına dönüşecek olan tüm temaları barındırıyor; arka sokaklarda kaybolan yaşamlar, azınlıklar, mezar taşlarının silinen yazıları gibi hayatımızdan sessiz ve çaresizce çıkan “ötekiler.” Bırak artık şu oyunu Sedat. Lütfen kendine gel. Farkında mısın bilmem, teşkilat çalkalanıyor. Dünyadaki bütün dengeler değişti. Artık ne Sovyetler var, ne komünizm tehlikesi. Ama ülkemizin üzerindeki oyunlar bitmedi. Topraklarımızı bölmek, devletimizi güçsüz kılmak istiyorlar.","Yayın Tarihi:
01.11.2019


ISBN:
9789750845956


Dil:
TÜRKÇE


Sayfa Sayısı:
292


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 23 cm",5,120,"




                    Okuyacağım                


                    183                






                    Okuyorum                


                    26                






                    Okudum                


                    466                


",5.881," 56,10"
İnsanlığımı Yitirirken,Osamu Dazai,SEL YAYINCILIK,"Japonya'nın en çok okunan romanlarından İnsanlığımı Yitirirken'de Osamu Dazai, savaş sonrası Japonya'sının boğucu atmosferinin toplumdaki izdüşümünü ve bireyin kalabalıklar karşısında giderek yabancılaşarak insani değerlerini yitirişini aktarmak için teşrih masasına kendini yatırıyor. Gündelik yaşamın acı veren detaylarını ve yıkıcı anların uğultusunu tüm yalınlığıyla kâğıda dökerek yarattığı bu anti-kahramanla, Japonya'nın genç aydınlarının Batı ile geleneksel kültür arasındaki sıkışmışlığını resmederek, bireyciliğin ve toplum karşıtlığının ""salgın"" gibi yayıldığı bir coğrafyada varoluşçuluk tohumları serpiyor. Duygular hırpalanarak silikleşirken, dünyanın gerçekliğini yitirişini aktaran Dazai, dünyevi hazlar peşinde iyileşmeye çalışırken daha da parçalanan Yozo karakterinde cisimleşen evrensel sancının yansıdığı satırlarla yazın dünyasında ölümsüzleşiyor. Yaşamı intihar girişimleriyle şekillenmiş bir yazardan, ölümün sınır çizgilerine misilleme yapan bir metin...","Çevirmen:
 Hüseyin Can Erkin


Yayın Tarihi:
29.09.2021


ISBN:
9786057728326


Dil:
TÜRKÇE


Sayfa Sayısı:
109


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,64,"




                    Okuyacağım                


                    165                






                    Okuyorum                


                    13                






                    Okudum                


                    180                


",4.112," 28,00"
Osman,Ayfer Tunç,CAN YAYINLARI,"Her şey olmak isterken hiçbir şey olamayan, gün gün, adım adım hem servetini hem kendini tüketen bir adamın, Osman’ın hikâyesi bu roman. Pahalı markaların, lüks yaşamın gösterişine dalıp bir kültürün, bir sınıfın yok oluşunu, kendileri de o kültürle birlikte yok olmalarına rağmen fark edemeyen bir kuşağın çarpıcı hayatını anlatıyor Ayfer Tunç. Müzik stüdyolarından, araba galerilerinden, marinalardan geçip kapak kızlarının sert gerçekliğine çarpan… bir hafriyat kamyonunun gece yarısı yapayalnız bir adama çarptığı gibi çarpan bir hikâye. Osman, uzun bir döneme yayılan eşsiz kurgusuyla edebiyatımızın en görkemli eserlerinden biri olmaya aday. Kapak Kızı’nı ve Yeşil Peri Gecesi’ni dinledik. Şimdi söz sırası Osman’da… Bugün ayın kaçı, günlerden ne, berbat pansiyonların berbat odalarında çile doldurduğum kaçıncı gün, bilmiyorum. Zaman bir yerde koptu gitti, geceyle gündüzü ayırt etmem bile zaman alıyor artık, zaten bir önemi de yok. Beş parasızım, perişan haldeyim. Yarın ne yapacağım, nasıl sürecek bu yaşam, bilmiyorum. Allah’ım ben bu hale nasıl geldim? Düştüğüm bu halin sorumlusu kim?#kapakkızı #yeşilperigecesi #müzik #nişantaşı #yalnızlık #servet #çöküş #yitikbiradam","Yayın Tarihi:
27.09.2021


ISBN:
9789750745522


Dil:
TÜRKÇE


Sayfa Sayısı:
504


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.5 x 19.5 cm",5,145,"




                    Okuyacağım                


                    267                






                    Okuyorum                


                    17                






                    Okudum                


                    345                


",7.426," 84,50"
Babaya Mektup,Franz Kafka,KAPRA YAYINCILIK,"Kafka’nın 1919’da babası Hermann Kafka’ya yazdığı ama yerine ulaşmayan bir metin bu. Dolayısıyla eleştirmenler arasında Babaya Mektup’un gerçekten bir mektup mu yoksa kurgu mu olduğu konusu çok tartışıldı. Almanca aslından Türkçeye çevrilen Babaya Mektup, dünya edebiyatının en önemli isimlerinden Franz Kafka’nın en mahrem ve duygu dolu düşüncelerini yansıtıyor.","Çevirmen:
 Cemre Selvi


Yayın Tarihi:
21.12.2020


ISBN:
9786257784597


Dil:
TÜRKÇE


Sayfa Sayısı:
52


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.5 x 19.5 cm",5,11,"




                    Okuyacağım                


                    27                






                    Okuyorum                


                    8                






                    Okudum                


                    41                


",1.405," 7,90"
İlk Öğretmenim,Cengiz Aytmatov,KETEBE YAYINEVİ,"Asırlarca basit tarım ve hayvancılıkla hayatını sürdüren göçebe Kırgız halkı, Çarlık Rusyası’nın yıkılmasının ardından yepyeni bir dünyanın hayaline ortak olur. Önceleri yalnızca birkaç kişinin hatta kimi zaman sadece tek bir bireyin peşine düştüğü bu hayaller, statükonun direnciyle yüzleşecektir elbette. Ancak adanmış bir ruhun önünde ne durabilir? Bu ilk kıvılcımlar zamanla desteklenip paylaşıldıkça koca bir toplumu değiştirir ve dönüştürür kuşkusuz. Tıpkı İlk Öğretmenim’de olduğu gibi…Savaş sırasında aldığı sınırlı eğitim, idealist bir Kırgız genci olan Düyşen’de köklü değişimlere neden olmuştur. İdeallerine olan inancı onu köyünün yüzlerce yıllık ataerkil geleneklerine başkaldırmaya iterken köyün çocukları için bir okul inşa etmeye koyulur. Şüphesiz bu derme çatma okulun ilk öğretmeni de kendisi olacaktır. Düyşen’in mücadelesi hem kendisinin, hem köyünün hem de gelecek kuşakların kaderini değiştirecek acı ve hüzün dolu bir hikâyenin başlangıcı olduğu kadar, büyük bir destanın da müjdecisidir!","Çevirmen:
 Mehmet Özgül


Yayın Tarihi:
02.06.2021


ISBN:
9786257303903


Dil:
TÜRKÇE


Sayfa Sayısı:
76


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,52,"




                    Okuyacağım                


                    99                






                    Okuyorum                


                    5                






                    Okudum                


                    139                


",2.943," 19,60"
Selvi Boylum Al Yazmalım,Cengiz Aytmatov,KETEBE YAYINEVİ,"Sevgi neydi?Sevgi emekti,Uçuşan yaprak,Boş bir salıncak. Emek mi, aşk mı? Süreklilik mi, değişim mi? İkisini de arzulayan, isteyen insanın kaderi ne olabilir?Kırgız halkının toplumsal ve siyasal geçiş süreçlerinde, kriz anlarında yaşadığı büyük acıları eserlerinde çoktan klasikleşmiş hikâyelerle anlatan Cengiz Aytmatov, Selvi Boylum Al Yazmalım’da da aynı yolu izliyor. Bir yandan birbirini seven ve talihsiz bir olay sonucu yolları ayrılan ve nihayetinde garip bir tesadüfle tekrar karşılaşan iki insanın parçalanmış hayatlarını, aşklarını resmediyor; bir yandan da hızla gelişen teknolojinin ve sanayileşmenin Kırgız toplumu üzerinde yarattığı olumsuz etkiyi ustalıkla gözler önüne seriyor.","Çevirmen:
 Mehmet Özgül


Yayın Tarihi:
02.06.2021


ISBN:
9786257303859


Dil:
TÜRKÇE


Sayfa Sayısı:
140


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,82,"




                    Okuyacağım                


                    122                






                    Okuyorum                


                    11                






                    Okudum                


                    197                


",3.124," 33,60"
Sözün Başladığı Yer  Etimoloji: Kelimenin Yara Olduğunu Öğreten Bilim,PROFİL KİTAP,PROFİL KİTAP,"Kelimenin yara olduğunu biliyor muydunuz? Rengin hile anlamına geldiğini; doğrusunun naif değil nahif olduğunu; birçoğumuzun yaptığı ama adını bilmediği o davranışa tefeül dendiğini… Kelimeler hiç bilmediğimiz anlamlara gelebiliyor veya zamanla değişebiliyor. Bu kitapta 333 kelimenin macerasına tanıklık edeceksiniz. Dostun gerçek anlamını, düğün, düğüm ve düğme arasındaki ilginç bağlantıyı, hüznün ve aşkın nereden geldiğini, sitârenin ne olduğunu, börüye neden kurt dendiğini öğreneceksiniz. Ayrıca temenna, perdebîrun, çerağ, hodbin ve daha nice kelimeyle tanışacak, meşhur yanlışların doğrusunu bulacaksınız. O zaman şöyle başlayalım: Önce söz vardı, kelimeler, yani yara","Derleyici:
 Erhan İdiz


Yayın Tarihi:
07.09.2021


ISBN:
9786257637909


Dil:
TÜRKÇE


Sayfa Sayısı:
176


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,56,"




                    Okuyacağım                


                    165                






                    Okuyorum                


                    20                






                    Okudum                


                    97                


",3.413," 47,40"
Yeşil Bambu ve Diğer Fantastik Öyküler,Osamu Dazai,İTHAKİ YAYINLARI,"“O yılın bir sonbahar gününde Saburou birini öldürdü. Bir oyun arkadaşını Kototoi Köprüsü’nden Sumida Nehri’ne itti. Kişisel bir sebebi yoktu. Tabancayı kendi başına dayayıp ateş etmek isteyen birinin dürtüsüne tamamen benzer bir dürtü tarafından ele geçirilmişti.” Yirminci yüzyıl Japon edebiyatının önde gelen yazarlarından, “sıradışı” hayatıyla da meşhur Osamu Dazai, Yeşil Bambu ve Diğer Fantastik Öyküler’de Japon masallarındaki tipik su perilerini, denizkızlarını ve intikamcı hayaletleri kendine has üslubuyla yorumlayarak fantastik bir alegori, çarpık bir masal dünyası ortaya çıkarıyor. Bu öykü kitabında bir denizkızı peşinde helak olan samuray Çûdô Konnai’dan onurlu yoksulluğunun altüst olmaması için elinden geleni ardına koymayan krizantem sevdalısı Sainosuke’ye, para peşindeki yalancı Saburou’dan kız peşinde kendini yakışıklı birine dönüştürmek isteyen sihirbaz Tarou’ya kadar hiç kimse, Dazai’nin acımasız ve mizahi kaleminden kurtulamıyor. ","Çevirmen:
 Esmanur Yiğit


Çevirmen:
 Esranur Yiğit


Yayın Tarihi:
26.11.2021


ISBN:
9786258475401


Dil:
TÜRKÇE


Sayfa Sayısı:
176


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.5 x 19.5 cm",5,24,"




                    Okuyacağım                


                    145                






                    Okuyorum                


                    15                






                    Okudum                


                    82                


",2.453," 27,23"
